iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,3.812189e-04,1.709583e+00,2.469350e-01,24,66,36,1.065563e-05,1.389946e-06,3.570016e-09,1.386376e-06
4,1.290531e-03,4.618455e+00,7.887242e-01,23,66,34,3.557345e-05,5.066357e-06,1.232848e-08,5.056469e-06
5,2.605352e-03,7.623975e+00,1.475245e+00,23,66,34,6.845910e-05,1.034324e-05,2.559002e-08,1.031849e-05
6,4.237431e-03,1.046340e+01,2.168878e+00,23,66,34,1.057239e-04,1.623202e-05,4.639486e-08,1.618566e-05
7,6.543165e-03,1.315205e+01,2.843573e+00,21,66,34,1.442987e-04,2.193726e-05,7.349339e-08,2.186393e-05
8,9.505024e-03,1.565554e+01,3.481063e+00,18,66,34,1.803486e-04,2.655907e-05,1.034956e-07,2.645604e-05
9,1.279755e-02,1.810649e+01,4.148100e+00,18,66,34,2.109143e-04,2.989869e-05,1.341030e-07,2.976550e-05
10,1.600114e-02,2.117858e+01,5.065423e+00,18,66,34,2.566281e-04,3.351226e-05,1.431312e-07,3.337069e-05
11,1.974245e-02,2.343402e+01,5.581143e+00,17,66,35,2.655914e-04,3.430706e-05,1.702315e-07,3.414369e-05
12,2.359602e-02,2.003099e+01,6.184927e+00,17,66,35,2.713978e-04,3.596702e-05,1.996030e-07,3.578018e-05
13,2.729722e-02,2.354025e+01,6.655329e+00,17,66,34,2.781810e-04,3.908645e-05,2.272136e-07,3.886705e-05
14,3.058990e-02,2.537543e+01,6.830138e+00,17,66,34,2.891476e-04,4.423871e-05,2.640283e-07,4.397488e-05
